,index,fonction,cat,grade,Echelon,durée,Indice Brut,Indice majoré,salaire brut,indice majoré calculé
0,1,Syndic des gens de mer,C,1,1,inf,388,355,1663.54,355.0
1,2,Syndic des gens de mer,C,1,2,inf,397,361,1691.66,361.0
2,3,Syndic des gens de mer,C,1,3,inf,412,368,1724.46,368.0
3,4,Syndic des gens de mer,C,1,4,inf,430,380,1780.69,380.0
4,5,Syndic des gens de mer,C,1,5,inf,448,393,1841.61,393.0
5,6,Syndic des gens de mer,C,1,6,inf,460,403,1888.47,403.0
6,7,Syndic des gens de mer,C,1,7,inf,478,415,1944.7,415.0
7,8,Syndic des gens de mer,C,1,8,inf,499,430,2014.99,430.0
8,9,Syndic des gens de mer,C,1,9,inf,525,450,2108.71,450.0
9,10,Syndic des gens de mer,C,1,10,inf,558,473,2216.49,473.0
10,11,Syndic des gens de mer,C,2,1,inf,368,341,1597.93,341.0
11,12,Syndic des gens de mer,C,2,2,inf,371,343,1607.31,343.0
12,13,Syndic des gens de mer,C,2,3,inf,376,346,1621.36,346.0
13,14,Syndic des gens de mer,C,2,4,inf,387,354,1658.85,354.0
14,15,Syndic des gens de mer,C,2,5,inf,396,360,1686.97,360.0
15,16,Syndic des gens de mer,C,2,6,inf,404,365,1710.4,365.0
16,17,Syndic des gens de mer,C,2,7,inf,416,370,1733.83,370.0
17,18,Syndic des gens de mer,C,2,8,inf,430,380,1780.69,380.0
18,19,Syndic des gens de mer,C,2,9,inf,446,392,1836.92,392.0
19,20,Syndic des gens de mer,C,2,10,inf,461,404,1893.15,404.0
20,21,Syndic des gens de mer,C,2,11,inf,473,412,1930.64,412.0
21,22,Syndic des gens de mer,C,2,12,inf,486,420,1968.13,420.0
22,23,Syndic des gens de mer,C,3,1,inf,367,340,1593.25,340.0
23,24,Syndic des gens de mer,C,3,2,inf,368,341,1597.93,341.0
24,25,Syndic des gens de mer,C,3,3,inf,370,342,1602.62,342.0
25,26,Syndic des gens de mer,C,3,4,inf,371,343,1607.31,343.0
26,27,Syndic des gens de mer,C,3,5,inf,374,345,1616.68,345.0
27,28,Syndic des gens de mer,C,3,6,inf,378,348,1630.74,348.0
28,29,Syndic des gens de mer,C,3,7,inf,381,351,1644.79,351.0
29,30,Syndic des gens de mer,C,3,8,inf,387,354,1658.85,354.0
30,31,Syndic des gens de mer,C,3,9,inf,401,363,1701.03,363.0
31,32,Syndic des gens de mer,C,3,10,inf,419,372,1743.2,372.0
32,33,Syndic des gens de mer,C,3,11,inf,432,382,1790.06,382.0
33,34,Aide technicien de la météorologie,C,1,1,inf,388,355,1663.54,355.0
34,35,Aide technicien de la météorologie,C,1,2,inf,397,361,1691.66,361.0
35,36,Aide technicien de la météorologie,C,1,3,inf,412,368,1724.46,368.0
36,37,Aide technicien de la météorologie,C,1,4,inf,430,380,1780.69,380.0
37,38,Aide technicien de la météorologie,C,1,5,inf,448,393,1841.61,393.0
38,39,Aide technicien de la météorologie,C,1,6,inf,460,403,1888.47,403.0
39,40,Aide technicien de la météorologie,C,1,7,inf,478,415,1944.7,415.0
40,41,Aide technicien de la météorologie,C,1,8,inf,499,430,2014.99,430.0
41,42,Aide technicien de la météorologie,C,1,9,inf,525,450,2108.71,450.0
42,43,Aide technicien de la météorologie,C,1,10,inf,558,473,2216.49,473.0
43,44,Aide technicien de la météorologie,C,2,1,inf,368,341,1597.93,341.0
44,45,Aide technicien de la météorologie,C,2,2,inf,371,343,1607.31,343.0
45,46,Aide technicien de la météorologie,C,2,3,inf,376,346,1621.36,346.0
