web-scraper-order,web-scraper-start-url,fonction,fonction-href,Echelon,Indice Brut,Indice majoré,Durée,Salaire brut,catA,catB,catC
"1651681676-7260","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Chargé de recherche d'établissement public scientifique et technologique","https://www.emploi-collectivites.fr/grille-indiciaire-etat-charge-recherche-etablissement-public-scientifique-technologique/1/6330.htm","4","933","758","1 an","3 552,01 €","A","null","null"
"1651682094-9318","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Cadre d'exploitation de France Télécom -en voie d'extinction","https://www.emploi-collectivites.fr/grille-indiciaire-etat-cadre-exploitation-france-telecom-extinction/1/6494.htm","12","599","504","2 ans","2 361,76 €","A","null","null"
"1651682205-10071","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Contrôleur spécialisé de la direction générale de la sécurité extérieure-DGSE","https://www.emploi-collectivites.fr/grille-indiciaire-etat-controleur-specialise-direction-generale-securite-exterieure-dgse/1/6313.htm","4","429","379","2 ans","1 776,00 €","null","B","null"
"1651681581-7074","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Directeur de recherche d'établissement public scientifique et technologique","https://www.emploi-collectivites.fr/grille-indiciaire-etat-directeur-recherche-etablissement-public-scientifique-technologique/1/6329.htm","","HEC2","-","1 an","5 379,56 €","A","null","null"
"1651681110-5056","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Ouvrier des parcs et ateliers des ponts et chaussées et des bases aériennes-OPA-Transféré en Territoriale","https://www.emploi-collectivites.fr/grille-indiciaire-etat-ouvrier-parcs-ateliers-ponts-chaussees-bases-aeriennes-opa-transfere/1/6553.htm","9","500","431","3 ans","2 019,68 €","null","null","C"
"1651680554-561","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Ingénieur des études et de l'exploitation de l'aviation civile -IEEAC","https://www.emploi-collectivites.fr/grille-indiciaire-etat-ingenieur-etudes-exploitation-aviation-civile-ieeac/1/6113.htm","7","946","768","4 ans","3 598,87 €","A","null","null"
"1651680499-36","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Aide technicien de la météorologie","https://www.emploi-collectivites.fr/grille-indiciaire-etat-aide-technicien-meteorologie/1/5867.htm","3","412","368","2 ans","1 724,46 €","null","null","C"
"1651681695-7303","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Attaché d'administration de l'éducation nationale et de la Jeunesse","https://www.emploi-collectivites.fr/grille-indiciaire-etat-attache-administration-education-nationale-jeunesse/1/5551.htm","","","","","","null","null","null"
"1651681122-5184","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Adjoint administratif du Ministère de la cohésion des territoires et des relations avec les collectivités territoriales","https://www.emploi-collectivites.fr/grille-indiciaire-etat-adjoint-administratif-ministere-cohesion-territoires-relations-collectivites/1/6316.htm","","","","","","null","null","null"
"1651682401-11229","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Adjoint technique du ministère de la culture","https://www.emploi-collectivites.fr/grille-indiciaire-etat-adjoint-technique-ministere-culture/1/6632.htm","11","432","382","","1 790,06 €","null","null","C"
"1651680613-897","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Secrétaire général du Conseil d’orientation des retraites-COR- (Emploi fonctionnel)","https://www.emploi-collectivites.fr/grille-indiciaire-etat-secretaire-general-conseil-orientation-retraites-cor-emploi-fonctionnel/1/5066.htm","","HED3","-","-","5 993,43 €","A","null","null"
"1651681444-6562","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Personnel de direction d'établissement d'enseignement ou de formation","https://www.emploi-collectivites.fr/grille-indiciaire-etat-personnel-direction-etablissement-enseignement-formation/1/5986.htm","1","573","484","2 ans","2 268,04 €","A","null","null"
"1651682151-9566","https://www.emploi-collectivites.fr/grille-indiciaire-etat","Militaire du rang de la brigade de sapeurs-pompiers de Paris","https://www.emploi-collectivites.fr/grille-indiciaire-etat-militaire-rang-brigade-sapeurs-pompiers-paris/1/6075.htm","4","374","345","3 ans","1 616,68 €","null","null","C"
