Unnamed: 0,index,fonction,cat,grade,Echelon,durée,Indice Brut,Indice majoré,salaire brut,indice majoré calculé
1368,1649,Vice-président du Conseil d'Etat,A,1,1,inf,HEG,-,7075.9,1510.0
1380,1734,Secrétaire général du Conseil d'Etat-CE,A,1,1,1.0,HEBbis,-,4999.99,1067.0
1381,1735,Secrétaire général du Conseil d'Etat-CE,A,1,2,1.0,HEBbis2,-,5131.2,1095.0
1382,1736,Secrétaire général du Conseil d'Etat-CE,A,1,3,inf,HEBbis3,-,5267.09,1124.0
1448,1914,Président de section du Conseil d'Etat,A,1,1,inf,HEF,-,6457.34,1378.0
1449,1916,Maître des requêtes du Conseil d'Etat -CE,A,1,1,2.0,813,667,3125.58,667.0
1450,1917,Maître des requêtes du Conseil d'Etat -CE,A,1,2,2.0,862,705,3303.65,705.0
1451,1918,Maître des requêtes du Conseil d'Etat -CE,A,1,3,2.0,912,743,3481.72,743.0
1452,1919,Maître des requêtes du Conseil d'Etat -CE,A,1,4,2.0,977,792,3711.33,792.0
1453,1920,Maître des requêtes du Conseil d'Etat -CE,A,1,5,2.0,1027,830,3889.4,830.0
1454,1921,Maître des requêtes du Conseil d'Etat -CE,A,1,6,0.6666666666666666,HEA,-,4170.56,890.0
1455,1922,Maître des requêtes du Conseil d'Etat -CE,A,1,7,0.6666666666666666,HEA2,-,4334.57,925.0
1456,1923,Maître des requêtes du Conseil d'Etat -CE,A,1,8,0.6666666666666666,HEA3,-,4554.82,972.0
1457,1924,Maître des requêtes du Conseil d'Etat -CE,A,1,9,0.6666666666666666,HEB,-,4554.82,972.0
1458,1925,Maître des requêtes du Conseil d'Etat -CE,A,1,10,0.6666666666666666,HEB2,-,4746.94,1013.0
1459,1926,Maître des requêtes du Conseil d'Etat -CE,A,1,11,0.6666666666666666,HEB3,-,4999.99,1067.0
1460,1927,Maître des requêtes du Conseil d'Etat -CE,A,1,12,0.6666666666666666,HEBbis,-,4999.99,1067.0
1461,1928,Maître des requêtes du Conseil d'Etat -CE,A,1,13,0.6666666666666666,HEBbis2,-,5131.2,1095.0
1462,1929,Maître des requêtes du Conseil d'Etat -CE,A,1,14,inf,HEBbis3,-,5267.09,1124.0
1534,2036,Magistrat du tribunal administratif et cour administrative d’appel,A,1,1,2.0,1027,830,3889.4,830.0
1535,2037,Magistrat du tribunal administratif et cour administrative d’appel,A,1,2,0.6666666666666666,HEA,-,4170.56,890.0
1536,2038,Magistrat du tribunal administratif et cour administrative d’appel,A,1,3,0.6666666666666666,HEA2,-,4334.57,925.0
1537,2039,Magistrat du tribunal administratif et cour administrative d’appel,A,1,4,0.6666666666666666,HEA3,-,4554.82,972.0
1538,2040,Magistrat du tribunal administratif et cour administrative d’appel,A,1,5,1.0,HEB,-,4554.82,972.0
1539,2041,Magistrat du tribunal administratif et cour administrative d’appel,A,1,6,1.0,HEB2,-,4746.94,1013.0
1540,2042,Magistrat du tribunal administratif et cour administrative d’appel,A,1,7,1.0,HEB3,-,4999.99,1067.0
1541,2043,Magistrat du tribunal administratif et cour administrative d’appel,A,1,8,1.0,HEBbis,-,4999.99,1067.0
1542,2044,Magistrat du tribunal administratif et cour administrative d’appel,A,1,9,1.0,HEBbis,-,4999.99,1067.0
1543,2045,Magistrat du tribunal administratif et cour administrative d’appel,A,1,10,1.0,HEBbis,-,4999.99,1067.0
1544,2046,Magistrat du tribunal administratif et cour administrative d’appel,A,1,11,1.0,HEC,-,5267.09,1124.0
1545,2047,Magistrat du tribunal administratif et cour administrative d’appel,A,1,12,1.0,HEC2,-,5379.56,1148.0
1546,2048,Magistrat du tribunal administratif et cour administrative d’appel,A,1,13,1.0,HEC3,-,5496.71,1173.0
1547,2049,Magistrat du tribunal administratif et cour administrative d’appel,A,1,14,1.0,HED,-,5496.71,1173.0
1548,2050,Magistrat du tribunal administratif et cour administrative d’appel,A,1,15,1.0,HED2,-,5745.07,1226.0
1549,2051,Magistrat du tribunal administratif et cour administrative d’appel,A,1,16,1.0,HED3,-,5993.43,1279.0
1550,2052,Magistrat du tribunal administratif et cour administrative d’appel,A,1,17,1.0,HEE,-,5993.43,1279.0
1551,2053,Magistrat du tribunal administratif et cour administrative d’appel,A,1,18,inf,HEE2,-,6227.73,1329.0
1552,2054,Magistrat du tribunal administratif et cour administrative d’appel,A,2,1,1.0,762,628,2942.82,628.0
1553,2055,Magistrat du tribunal administratif et cour administrative d’appel,A,2,2,1.0,813,667,3125.58,667.0
1554,2056,Magistrat du tribunal administratif et cour administrative d’appel,A,2,3,2.0,883,720,3373.94,720.0
