web-scraper-order,web-scraper-start-url,fonction,fonction-href,Echelon,Indice Brut,Indice majoré,Durée,Salaire brut,catA,catB,catC
1651680771-2046,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Magistrat du tribunal administratif et cour administrative d’appel,https://www.emploi-collectivites.fr/grille-indiciaire-etat-magistrat-tribunal-administratif-cour-administrative-appel/1/6117.htm,5,HEC,-,1 an,"5 267,09 €",A,,
1651680765-1924,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Maître des requêtes du Conseil d'Etat -CE,https://www.emploi-collectivites.fr/grille-indiciaire-etat-maitre-requetes-conseil/1/5663.htm,7,HEB,-,8 mois,"4 554,82 €",A,,
1651680830-2830,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Coordonnateur de formation de l'Ecole nationale de la magistrature (ENM),https://www.emploi-collectivites.fr/grille-indiciaire-etat-coordonnateur-formation-ecole-nationale-magistrature-enm/1/6246.htm,,HEB3,-,1 an,"4 999,99 €",A,,
1651681129-5223,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Sous chef de service,https://www.emploi-collectivites.fr/grille-indiciaire-etat-chef-service/1/5803.htm,,,,,,,,
1651680776-2110,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Magistrat du second grade de l'ordre judiciaire,https://www.emploi-collectivites.fr/grille-indiciaire-etat-magistrat-second-grade-ordre-judiciaire/1/6240.htm,5,762,628,-,"2 942,82 €",A,,
1651682562-12333,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Administrateur de l'Etat,https://www.emploi-collectivites.fr/grille-indiciaire-etat-administrateur/1/5048.htm,,HEBbis3,-,-,"5 267,09 €",A,,
1651682562-12316,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Administrateur de l'Etat,https://www.emploi-collectivites.fr/grille-indiciaire-etat-administrateur/1/5048.htm,,HEC3,-,2 ans,"5 496,71 €",A,,
1651680771-2069,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Magistrat du tribunal administratif et cour administrative d’appel,https://www.emploi-collectivites.fr/grille-indiciaire-etat-magistrat-tribunal-administratif-cour-administrative-appel/1/6117.htm,2,485,420,1 an,"1 968,13 €",A,,
1651680771-2041,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Magistrat du tribunal administratif et cour administrative d’appel,https://www.emploi-collectivites.fr/grille-indiciaire-etat-magistrat-tribunal-administratif-cour-administrative-appel/1/6117.htm,,HEB2,-,1 an,"4 746,94 €",A,,
1651680771-2048,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Magistrat du tribunal administratif et cour administrative d’appel,https://www.emploi-collectivites.fr/grille-indiciaire-etat-magistrat-tribunal-administratif-cour-administrative-appel/1/6117.htm,,HEC3,-,1 an,"5 496,71 €",A,,
1651680773-2098,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Magistrat du second grade provisoire de l'ordre judiciaire,https://www.emploi-collectivites.fr/grille-indiciaire-etat-magistrat-second-grade-provisoire-ordre-judiciaire/1/6239.htm,3,665,555,2 ans,"2 600,74 €",A,,
1651680771-2057,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Magistrat du tribunal administratif et cour administrative d’appel,https://www.emploi-collectivites.fr/grille-indiciaire-etat-magistrat-tribunal-administratif-cour-administrative-appel/1/6117.htm,4,953,773,2 ans,"3 622,30 €",A,,
1651680765-1929,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Maître des requêtes du Conseil d'Etat -CE,https://www.emploi-collectivites.fr/grille-indiciaire-etat-maitre-requetes-conseil/1/5663.htm,,HEBbis3,-,-,"5 267,09 €",A,,
1651682562-12325,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Administrateur de l'Etat,https://www.emploi-collectivites.fr/grille-indiciaire-etat-administrateur/1/5048.htm,6,HEA,-,1 an,"4 170,56 €",A,,
1651682511-11929,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Secrétaire administratif des administrations de l'Etat,https://www.emploi-collectivites.fr/grille-indiciaire-etat-secretaire-administratif-administrations/1/5052.htm,7,480,416,2 ans,"1 949,39 €",,B,
1651680771-2037,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Magistrat du tribunal administratif et cour administrative d’appel,https://www.emploi-collectivites.fr/grille-indiciaire-etat-magistrat-tribunal-administratif-cour-administrative-appel/1/6117.htm,2,HEA,-,8 mois,"4 170,56 €",A,,
1651682562-12331,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Administrateur de l'Etat,https://www.emploi-collectivites.fr/grille-indiciaire-etat-administrateur/1/5048.htm,8,HEB bis,-,1 an,A venir,A,,
1651680765-1921,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Maître des requêtes du Conseil d'Etat -CE,https://www.emploi-collectivites.fr/grille-indiciaire-etat-maitre-requetes-conseil/1/5663.htm,6,HEA,-,8 mois,"4 170,56 €",A,,
1651680778-2135,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Magistrat du premier grade de l'ordre judiciaire,https://www.emploi-collectivites.fr/grille-indiciaire-etat-magistrat-premier-grade-ordre-judiciaire/1/5672.htm,2,862,705,1 an 6 mois,"3 303,65 €",A,,
1651680830-2823,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Coordonnateur de formation de l'Ecole nationale de la magistrature (ENM),https://www.emploi-collectivites.fr/grille-indiciaire-etat-coordonnateur-formation-ecole-nationale-magistrature-enm/1/6246.htm,4,977,792,1 an 6 mois,"3 711,33 €",A,,
1651682562-12326,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Administrateur de l'Etat,https://www.emploi-collectivites.fr/grille-indiciaire-etat-administrateur/1/5048.htm,,HEA2,-,1 an,"4 334,57 €",A,,
1651682562-12305,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Administrateur de l'Etat,https://www.emploi-collectivites.fr/grille-indiciaire-etat-administrateur/1/5048.htm,2,HEA,-,1 an,"4 170,56 €",A,,
1651682511-11914,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Secrétaire administratif des administrations de l'Etat,https://www.emploi-collectivites.fr/grille-indiciaire-etat-secretaire-administratif-administrations/1/5052.htm,3,484,419,2 ans,"1 963,44 €",,B,
1651680985-4455,https://www.emploi-collectivites.fr/grille-indiciaire-etat,Secrétaire général de préfecture,https://www.emploi-collectivites.fr/grille-indiciaire-etat-secretaire-general-prefecture/1/5839.htm,,,,,,,,
